State,Diabetes_Prevalence_Pct,Prediabetes_Prevalence_Pct,Data_Source,Study_Year,Women_High_Sugar_Pct,Men_High_Sugar_Pct,Women_High_BP_Pct,Men_High_BP_Pct,Health_Insurance_Pct,Women_Overweight_Pct,Men_Overweight_Pct,Population_Millions,Per_Capita_Income_INR_Thousands,Diabetic_Population_Millions,Prediabetic_Population_Millions,Total_At_Risk_Millions,Avg_High_Sugar_Pct,Avg_High_BP_Pct,Avg_Overweight_Pct,Prevalence_Score,Market_Size_Score,Sugar_Burden_Score,Income_Score,Insurance_Score,Obesity_Score,Disease_Burden_Index,Commercial_Viability_Index,Opportunity_Score,Rank,Launch_Tier,market_narrative,strategic_recommendation,key_risk,prediabetes_opportunity,board_summary_line
Andhra Pradesh,16.8,12.1,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,19.5,21.8,25.3,29.0,70.2,36.3,31.1,52.2,172,8.77,6.32,15.09,20.65,27.15,33.7,54.10628019323672,42.61168384879725,70.58823529411764,28.03347280334728,76.56458055925435,77.92207792207795,62.09,46.97,55.29,4,Tier 2 — Launch in 6 Months,"Andhra Pradesh's high diabetes prevalence (16.8%) and large diabetic population (8.77 million) create a significant market opportunity, driven by the state's higher per capita income (₹172K/year) and health insurance coverage (70.2%). Compared to the national average of 12.6%, Andhra Pradesh has a notable gap in diabetes management.","The commercial team should focus on Tier 2 cities, targeting high-income groups with targeted marketing campaigns, leveraging digital channels, and partnering with local healthcare providers to drive early adoption.","The single biggest commercial risk is the competition from established players in the market, particularly in the insulin segment, which may lead to pricing pressure and erosion of market share.","The high prediabetes prevalence (12.1%) presents a significant prevention market opportunity, allowing for early intervention and potential cost savings through lifestyle modifications or medication.","Andhra Pradesh offers an Opportunity Score of 55.3/100, driven by its large diabetic population, with a key focus on Tier 2 cities to drive early adoption and capitalize on the state's higher per capita income."
Arunachal Pradesh,7.1,9.2,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,8.4,11.9,24.9,33.1,29.3,23.9,27.6,1.6,98,0.11,0.15,0.26,10.15,29.0,25.75,7.246376811594201,0.0981836033382425,11.764705882352938,12.552301255230123,22.10386151797604,48.42300556586271,15.76,11.68,13.92,29,Tier 4 — Deprioritize,"Arunachal Pradesh's lower diabetes prevalence compared to the national average (7.1% vs 12.6%) and higher prediabetes prevalence (9.2%) suggest a significant potential for early intervention and prevention, driving an opportunity score of 13.9.","Focus on targeted awareness campaigns in rural areas, leveraging local influencers and community leaders to reach the at-risk population, with a launch timing aligned with the state's annual health check-up drives.","The commercial team should be cautious of limited healthcare infrastructure and physician density, which may hinder adoption and adherence to treatment plans.","The high prediabetes prevalence offers a significant opportunity for early intervention and prevention programs, potentially reducing the burden on the healthcare system and increasing patient outcomes.","Arunachal Pradesh presents an attractive opportunity with a score of 13.9, driven by its lower diabetes prevalence and higher prediabetes rate, offering potential for early intervention and prevention."
Assam,7.8,10.8,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,12.8,16.0,19.1,20.3,60.0,15.2,16.2,35.6,74,2.78,3.84,6.62,14.4,19.700000000000003,15.7,10.6280193236715,13.205694648993616,35.57422969187675,7.531380753138074,62.982689747004,11.131725417439707,18.6,25.87,21.87,21,Tier 4 — Deprioritize,"Assam's lower per capita income (₹74K/year) and health insurance coverage (60%) compared to national averages indicate a larger proportion of patients may not be able to afford expensive treatments, making our drug more attractive. Additionally, the high prevalence of prediabetes (10.8%) suggests a significant potential for prevention and early intervention.","The commercial team should focus on targeting primary care physicians in Tier-3 cities with targeted promotions and samples, while also establishing partnerships with local healthcare providers to offer bundled services and drive adoption.","The biggest risk is the limited availability of trained healthcare professionals in rural areas, which may hinder our ability to effectively promote and deliver our drug.","With a prediabetes prevalence of 10.8%, there's a significant opportunity to target prevention programs and early intervention strategies that can drive long-term value for patients and the company alike.","Assam presents an attractive opportunity with an Opportunity Score of 21.9/100, driven by its large diabetic population and high prediabetes prevalence, making it an ideal launch location to drive growth and revenue."
Bihar,5.6,8.1,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,12.7,16.2,15.9,18.4,14.6,15.9,14.7,128.5,38,7.2,10.41,17.61,14.45,17.15,15.3,0.0,34.90427098674522,35.85434173669468,0.0,2.529960053262317,9.647495361781075,17.92,11.23,14.91,28,Tier 4 — Deprioritize,"Bihar's lower per capita income (₹38K/year) and health insurance coverage (14.6%) compared to national averages create a high demand for affordable diabetes treatments, driving an Opportunity Score of 14.9/100.","Focus on early-stage marketing efforts in Tier 4 cities, leveraging local influencers and community-based channels to reach the target audience, with a launch timing aligned with the upcoming monsoon season.",The risk of low patient adherence due to limited healthcare infrastructure and lack of awareness about diabetes management may hinder commercial success.,"The high prediabetes prevalence (8.1%) presents an opportunity for targeted prevention programs, potentially reducing the disease burden in Bihar.","Bihar offers a significant Opportunity Score of 14.9/100, driven by its large diabetic population and low health insurance coverage, with potential to reach over 2 million patients."
Chhattisgarh,7.2,9.4,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,9.0,10.8,23.6,27.7,71.4,14.1,14.9,29.4,91,2.12,2.76,4.88,9.9,25.65,14.5,7.729468599033817,9.965635738831615,10.364145658263308,11.08786610878661,78.16245006657792,6.679035250463827,8.65,30.87,18.65,25,Tier 4 — Deprioritize,"Chhattisgarh's lower diabetes prevalence compared to the national average (7.2% vs 12.6%) suggests a relatively smaller market size, but the high prediabetes prevalence (9.4%) indicates an opportunity for early intervention and prevention efforts. The state's higher per capita income (₹91K/year) also implies a potential for better health insurance coverage.","The commercial team should focus on targeted awareness campaigns in Tier 2-3 cities, leveraging local influencers and social media channels to reach the at-risk population, with a launch timing of Q2-Q3 to capitalize on the summer season's increased healthcare attention.","The biggest commercial risk is the high competition from existing metformin-based treatments, which may lead to price pressure and slower adoption for our new drug.","The state's 9.4% prediabetes prevalence presents a significant opportunity for prevention-focused marketing efforts, targeting the at-risk population with lifestyle modification programs and education initiatives.","Chhattisgarh offers an Opportunity Score of 18.6/100, driven by its high prediabetes prevalence and relatively lower diabetes burden, making it a Tier 4 launch priority."
Goa,20.1,14.2,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,20.8,24.1,27.5,26.8,66.0,36.1,32.6,1.5,516,0.3,0.21,0.51,22.450000000000003,27.15,34.35,70.04830917874396,1.0309278350515465,80.67226890756305,99.99999999999996,70.97203728362184,80.3339517625232,64.94,61.6,63.44,2,Tier 1 — Launch Immediately,"Goa's high diabetes prevalence (20.1%) and prediabetes prevalence (14.2%) create a significant opportunity, driven by women's higher risk of developing high blood sugar (20.8%). This is 65% higher than the national average, indicating a strong need for effective treatment options.","Launch immediately in Goa, focusing on Tier-1 cities and leveraging health insurance coverage (66%) to drive adoption, while also targeting women's health initiatives to capitalize on their increased risk.","The single biggest commercial risk is the high cost of insulin therapy, which may deter patients from adopting treatment options, especially with the average per capita income in Goa being ₹516K/year.","The prediabetes prevalence offers a significant prevention market opportunity, with over 0.36 million at-risk individuals who can be targeted for lifestyle modification and early intervention programs.","Goa presents an attractive opportunity with an Opportunity Score of 63.4/100, driven by its high diabetes prevalence; we recommend launching immediately to capitalize on this potential."
Gujarat,13.6,11.8,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,15.8,16.9,20.6,20.3,39.0,22.6,19.9,68.4,178,9.3,8.07,17.37,16.35,20.450000000000003,21.25,38.64734299516908,45.21354933726068,46.49859943977592,29.288702928870293,35.01997336884155,31.72541743970315,40.6,35.79,38.44,10,Tier 3 — Monitor,"Gujarat's higher diabetes prevalence (13.6%) compared to the national average (12.6%) creates an opportunity to target the state's larger diabetic population, with a potential market size of 9.30 million individuals.","The commercial team should focus on timely launches in Tier-3 cities, leveraging local healthcare networks and targeting high-potential customers through direct-to-consumer marketing campaigns.","The single biggest risk is the state's relatively low health insurance coverage (39.0%), which may impact patient adherence to treatment regimens.","Gujarat's prediabetes prevalence of 11.8% presents a significant prevention market opportunity, with potential for early intervention and cost savings through lifestyle modifications or medication.","Gujarat offers an Opportunity Score of 38.4/100, driven by its large diabetic population and high disease burden, making it an attractive launch tier for our new Type-2 diabetes drug."
Haryana,12.4,13.1,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,11.9,13.5,21.0,25.1,25.7,33.1,28.3,29.0,221,3.6,3.8,7.4,12.7,23.05,30.700000000000003,32.85024154589372,17.23122238586156,26.050420168067216,38.28451882845188,17.310252996005325,66.79035250463824,35.26,25.68,30.95,13,Tier 3 — Monitor,"Haryana's high prediabetes prevalence (13.1%) and relatively low health insurance coverage (25.7%) create an opportunity to target early-stage diabetes prevention, leveraging our drug's cost-effectiveness compared to Metformin.","Focus on a targeted launch in Q2, emphasizing digital marketing and partnerships with primary care physicians to capitalize on the state's high overweight prevalence among women (33.1%)","The biggest commercial risk is the potential for Insulin-based therapies to dominate the market, making it crucial to establish strong relationships with endocrinologists early on.","With 4.76 million at-risk individuals in Haryana, our drug can capitalize on the state's prediabetes prevalence to prevent diabetes and generate significant revenue.","Haryana presents a compelling opportunity with an Opportunity Score of 30.9/100 and a diabetic population of 3.6 million, offering potential for significant revenue growth."
Himachal Pradesh,12.1,14.6,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,13.9,14.7,22.2,24.4,34.5,30.4,30.6,7.3,196,0.88,1.07,1.95,14.3,23.3,30.5,31.40096618357488,3.8782523318605793,35.0140056022409,33.054393305439326,29.02796271637817,66.04823747680891,35.29,23.09,29.8,16,Tier 4 — Deprioritize,"Himachal Pradesh's relatively lower per capita income and health insurance coverage compared to national averages (₹196K/year vs ₹158K/year, 34.5% vs 41.2%) contribute to a lower opportunity score. The state's high prediabetes prevalence (14.6%) also indicates a larger potential market for prevention and early intervention.","The commercial team should prioritize timely launches in Tier 4 cities, focusing on rural areas with limited access to healthcare services, and leveraging digital channels to reach the target audience.","The biggest commercial risk is the state's relatively low per capita income, which may impact patient willingness to pay for our product, especially when compared to more affordable first-line drugs like Metformin.","The high prediabetes prevalence in Himachal Pradesh creates a significant opportunity to target prevention and early intervention strategies, potentially reducing the need for costly treatments later on.","Himachal Pradesh presents an opportunity score of 29.8/100, with a potential market size of 0.88 million diabetics and 1.95 million at-risk individuals, making it a strategic launch location."
Jharkhand,6.9,8.9,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,10.2,14.1,17.8,22.6,50.3,11.9,15.1,38.6,82,2.66,3.44,6.1,12.15,20.200000000000003,13.5,6.2801932367149815,12.616593028964164,22.969187675070017,9.20502092050209,50.06657789613848,2.968460111317261,11.58,22.49,16.49,27,Tier 4 — Deprioritize,Jharkhand's lower diabetes prevalence compared to the national average (6.9% vs 12.6%) and higher prediabetes prevalence (8.9%) suggest a significant opportunity for early intervention and prevention. The state's relatively low per capita income (₹82K/year) may also drive demand for more affordable treatment options.,"The commercial team should focus on launching the new drug in Tier 3 cities, targeting primary care physicians and leveraging digital marketing channels to reach a wider audience.",The biggest commercial risk is the potential for low adoption rates due to limited awareness about Type-2 diabetes and its management options among the local population.,"The high prediabetes prevalence (8.9%) presents an opportunity to target prevention programs, potentially reducing the need for costly treatments later on.","Jharkhand offers a 16.5/100 Opportunity Score, driven by its large diabetic population and lower diabetes prevalence compared to the national average; we recommend prioritizing this market."
Karnataka,17.8,13.4,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,14.0,15.6,25.0,26.9,28.1,30.1,30.9,67.5,231,12.02,9.04,21.06,14.8,25.95,30.5,58.93719806763285,58.566519391261664,37.815126050420176,40.3765690376569,20.50599201065247,66.04823747680891,53.97,39.87,47.62,6,Tier 2 — Launch in 6 Months,"Karnataka's high diabetes prevalence (17.8%) and large diabetic population (12.02 million) create a significant market opportunity, driven by the state's relatively higher per capita income (₹231K/year). This is particularly notable given the national average of 12.6%.","Focus on Tier-2 cities with high diabetes prevalence and launch in 6 months to capitalize on the market momentum. Utilize a multi-channel approach, including digital marketing and healthcare professional engagement.","The single biggest commercial risk is the high competition from established players in the metformin segment, which could lead to price pressure and erosion of market share.","The prediabetes prevalence of 13.4% presents a significant prevention market opportunity, with potential for early intervention and cost savings through lifestyle modification programs.","Karnataka offers an attractive commercial opportunity with an Opportunity Score of 47.6/100, driven by its large diabetic population and relatively higher per capita income."
Kerala,19.4,18.2,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,24.8,27.0,30.9,32.8,51.5,38.1,36.4,35.1,204,6.81,6.39,13.2,25.9,31.85,37.25,66.66666666666666,32.98969072164948,100.0,34.72803347280335,51.664447403462056,91.09461966604825,76.5,39.29,59.76,3,Tier 2 — Launch in 6 Months,"Kerala's high diabetes prevalence (19.4%) and large diabetic population (6.81 million) create a significant market opportunity, driven by the state's relatively higher per capita income (₹204K/year). This is reflected in the Opportunity Score of 59.8/100.","The commercial team should prioritize launching in Tier 2 cities within six months, focusing on digital marketing and leveraging health insurance coverage (51.5%) to target high-value patients.","The biggest commercial risk is the potential for price sensitivity among patients, particularly given the relatively low cost of first-line drugs like Metformin (₹91/month).","The prediabetes prevalence of 18.2% presents a significant prevention market opportunity, with potential to target high-risk individuals and prevent costly complications.","Kerala offers an Opportunity Score of 59.8/100, driven by its large diabetic population and relatively higher per capita income, making it an attractive launch market."
Madhya Pradesh,8.1,10.2,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,9.8,12.2,20.6,22.7,38.1,16.6,15.6,86.0,94,6.97,8.77,15.74,11.0,21.65,16.1,12.077294685990337,33.775159548355425,16.526610644257705,11.715481171548117,33.821571238348874,12.61595547309834,16.77,24.97,20.46,24,Tier 4 — Deprioritize,"Madhya Pradesh's lower diabetes prevalence compared to the national average (8.1% vs 12.6%) suggests a relatively smaller patient pool, but its higher prediabetes prevalence (10.2%) indicates a significant opportunity for prevention and early intervention. The state's lower per capita income and health insurance coverage also imply that patients may be more price-sensitive.","The commercial team should focus on timely launches in Tier-3 cities, leveraging local healthcare networks and community-based initiatives to reach the at-risk population. A targeted digital campaign can help educate patients about the importance of early detection and treatment.","The biggest commercial risk is the relatively low per capita income, which may lead to price sensitivity and reduced adoption rates for our product.","With a prediabetes prevalence rate of 10.2%, there is a significant opportunity to target prevention efforts and early intervention strategies in Madhya Pradesh.","Madhya Pradesh presents an Opportunity Score of 20.5/100, with a potential patient pool of 6.97 million, highlighting the need for targeted commercial strategies to capitalize on this market."
Maharashtra,14.4,14.8,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,12.4,13.6,23.1,24.4,20.0,23.4,24.7,123.1,198,17.73,18.22,35.95,13.0,23.75,24.05,42.51207729468599,86.5979381443299,27.731092436974787,33.47280334728033,9.720372836218376,42.11502782931353,44.61,42.28,43.56,8,Tier 3 — Monitor,"Maharashtra's high diabetes prevalence (14.4%) and large diabetic population (17.73 million) drive its Opportunity Score of 43.6/100, outpacing the national average of 12.6%. The state's relatively low health insurance coverage (20.0%) also presents a significant commercial opportunity.","The commercial team should focus on timely launches in urban areas, leveraging digital channels to reach high-income individuals and healthcare professionals, with a priority on building relationships with key opinion leaders.","The biggest commercial risk is the state's low health insurance coverage, which may impact patient adherence and treatment persistence.","The prediabetes prevalence of 14.8% presents a significant prevention market opportunity, particularly among the state's large at-risk population (35.95 million).","Maharashtra offers an Opportunity Score of 43.6/100, driven by its high diabetes prevalence and large diabetic population, with a potential to capture ₹X million in revenue."
