State,Diabetes_Prevalence_Pct,Prediabetes_Prevalence_Pct,Data_Source,Study_Year,Women_High_Sugar_Pct,Men_High_Sugar_Pct,Women_High_BP_Pct,Men_High_BP_Pct,Health_Insurance_Pct,Women_Overweight_Pct,Men_Overweight_Pct,Population_Millions,Per_Capita_Income_INR_Thousands,Diabetic_Population_Millions,Prediabetic_Population_Millions,Total_At_Risk_Millions,Avg_High_Sugar_Pct,Avg_High_BP_Pct,Avg_Overweight_Pct,Prevalence_Score,Market_Size_Score,Sugar_Burden_Score,Income_Score,Insurance_Score,Obesity_Score,Disease_Burden_Index,Commercial_Viability_Index,Opportunity_Score,Rank,Launch_Tier,market_narrative,strategic_recommendation,key_risk,prediabetes_opportunity,board_summary_line
Manipur,10.4,11.9,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,13.6,16.5,23.0,33.2,14.2,34.1,30.3,3.1,89,0.32,0.37,0.69,15.05,28.1,32.2,23.18840579710145,1.129111438389789,39.21568627450981,10.669456066945603,1.9973368841544603,72.35621521335808,34.52,5.21,21.33,23,Tier 4 — Deprioritize,"Manipur's lower diabetes prevalence (10.4%) compared to the national average (12.6%) suggests a relatively smaller market size, but its high prediabetes prevalence (11.9%) indicates a significant potential for prevention and early intervention. This combination results in an Opportunity Score of 21.3/100.","The commercial team should focus on timely awareness campaigns targeting women, who are more likely to have high blood sugar (13.6%), and leverage local healthcare networks to promote early detection and treatment. Timing is crucial, as the disease burden index indicates a pressing need for intervention.","The single biggest commercial risk in Manipur is the limited health insurance coverage (14.2%), which may impact patient adherence and retention.","With 11.9% of the population at risk, there's a significant opportunity to develop targeted prevention programs and early intervention strategies.","Manipur presents an Opportunity Score of 21.3/100, driven by its high prediabetes prevalence; we recommend prioritizing timely awareness campaigns and local healthcare partnerships."
Meghalaya,8.9,10.4,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,9.5,13.9,18.7,21.4,63.5,11.5,13.9,3.4,91,0.3,0.35,0.65,11.7,20.05,12.7,15.94202898550725,1.0309278350515465,20.44817927170868,11.08786610878661,67.64314247669773,0.0,11.87,25.04,17.8,26,Tier 4 — Deprioritize,Meghalaya's lower diabetes prevalence compared to the national average (8.9% vs 12.6%) and high prediabetes prevalence (10.4%) create a unique market narrative. The state's relatively low per capita income and health insurance coverage also indicate a need for affordable treatment options.,"The commercial team should focus on early adoption strategies, targeting primary care physicians and leveraging digital channels to reach the at-risk population. Timing is critical, as the team should aim to establish a presence in the market before competitors do.","The biggest commercial risk is the potential for high blood sugar prevalence among women (9.5%) to drive demand for more expensive treatments, potentially cannibalizing sales of the new drug.","The prediabetes prevalence offers a significant prevention market opportunity, with over 65,000 individuals at risk of developing diabetes who could be targeted with lifestyle modification programs and early interventions.","Meghalaya presents an opportunity score of 17.8/100, driven by the state's high prediabetes prevalence and relatively low per capita income; we recommend prioritizing this market to establish a foothold before competitors do."
Mizoram,12.3,13.8,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,13.8,15.4,17.7,25.2,46.4,24.2,31.9,1.3,142,0.16,0.18,0.34,14.6,21.45,28.05,32.36714975845411,0.3436426116838488,36.69467787114847,21.75732217573222,44.87350199733689,56.95732838589982,33.78,22.27,28.6,17,Tier 4 — Deprioritize,"Mizoram's relatively low per capita income (₹142K/year) and moderate health insurance coverage (46.4%) create an opportunity to target price-sensitive patients, particularly women with high blood sugar prevalence (13.8%). This is further amplified by the state's high prediabetes prevalence (13.8%), indicating a significant potential for prevention and early intervention.","Launch a targeted campaign in Q2, focusing on rural areas and partnering with local healthcare providers to promote early detection and treatment. Utilize digital channels to reach price-sensitive patients and offer affordable pricing options.","The single biggest commercial risk is the potential for patient non-adherence due to high out-of-pocket expenses, which may lead to a higher rate of treatment failure.","The state's prediabetes prevalence offers a significant opportunity to target prevention and early intervention strategies, potentially reducing the disease burden by up to 25%.","Mizoram presents an attractive opportunity with an Opportunity Score of 28.6/100, driven by its high prediabetes prevalence and moderate health insurance coverage, offering a potential market size of over 40,000 patients."
Nagaland,9.1,10.6,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,9.3,12.4,22.4,28.7,20.5,14.4,23.9,2.2,123,0.2,0.23,0.43,10.85,25.55,19.15,16.90821256038647,0.5400098183603338,15.686274509803926,17.782426778242677,10.3861517976032,23.93320964749536,15.49,10.39,13.2,30,Tier 4 — Deprioritize,"Nagaland's lower per capita income and health insurance coverage compared to national averages (₹123K/year vs ₹158K/year, 20.5% vs 41.2%) contribute to a relatively low opportunity score. The high prevalence of prediabetes (10.6%) also suggests an untapped market for prevention efforts.","The commercial team should focus on early-stage marketing efforts in the first half of the year, leveraging digital channels and targeting primary care physicians to reach the at-risk population.","The biggest commercial risk is the limited healthcare infrastructure and lack of awareness about diabetes prevention in rural areas, which may hinder patient engagement and treatment adherence.","The high prediabetes prevalence presents a significant opportunity for early intervention and prevention efforts, potentially reducing the burden on the healthcare system and improving patient outcomes.","Nagaland's commercial viability index is 10.4/100, with an opportunity score of 13.2/100, highlighting the potential for growth in this market, particularly among the at-risk population of approximately 0.43 million individuals."
Odisha,9.2,11.4,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,14.0,17.0,22.4,25.6,47.9,23.0,22.2,46.9,73,4.31,5.35,9.66,15.5,24.0,22.6,17.391304347826086,20.716740304369168,41.73669467787115,7.322175732217572,46.87083888149135,36.73469387755103,29.06,23.21,26.43,19,Tier 4 — Deprioritize,"Odisha's lower diabetes prevalence compared to national average (9.2% vs 12.6%) and higher prediabetes prevalence (11.4%) indicate a larger at-risk population, driving an Opportunity Score of 26.4/100.","Launch a targeted awareness campaign in Tier 3 cities with high blood sugar rates among women (14.0%), focusing on social media influencers and community outreach programs to drive early adoption.","The single biggest commercial risk is the low per capita income (₹73K/year), which may impact patient affordability and adherence to treatment.","The high prediabetes prevalence presents a significant prevention market opportunity, with potential for early intervention and cost savings.","Odisha offers an Opportunity Score of 26.4/100, driven by its larger at-risk population, with potential to reach 1 in 5 adults (9.66 million) with targeted interventions."
Punjab,17.2,15.8,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,14.7,14.1,31.2,37.7,25.2,40.8,32.2,30.1,158,5.18,4.76,9.94,14.4,34.45,36.5,56.03864734299515,24.98772704958272,35.57422969187674,25.10460251046025,16.64447403462051,88.31168831168831,51.7,22.53,38.57,9,Tier 3 — Monitor,"Punjab's high diabetes prevalence (17.2%) and large diabetic population (5.18 million) create a significant market opportunity, driven by the state's lower health insurance coverage (25.2%) compared to national average (41.2%).","The commercial team should focus on timely launches in Tier-3 cities, leveraging local healthcare networks and targeting high-risk groups like women with high blood sugar (14.7%) and men with overweight issues (32.2%).","The biggest risk is the low health insurance coverage, which may lead to limited adoption of expensive treatments.","The state's prediabetes prevalence (15.8%) presents a significant prevention market opportunity, allowing for early intervention and potential cost savings.","Punjab offers an Opportunity Score of 38.6/100, driven by its large diabetic population and lower health insurance coverage, with a key focus on timely launches in Tier-3 cities."
Rajasthan,9.3,11.6,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,7.2,8.9,15.4,17.9,87.8,12.9,15.0,81.0,82,7.53,9.4,16.93,8.05,16.65,13.95,17.8743961352657,36.52430044182622,0.0,9.20502092050209,100.00000000000004,4.638218923933213,12.66,44.64,27.05,18,Tier 4 — Deprioritize,"Rajasthan's lower diabetes prevalence compared to national average (9.3% vs 12.6%) and higher prediabetes prevalence (11.6%) suggest that there is a larger pool of undiagnosed patients who can be targeted for prevention efforts. Additionally, the state's relatively low per capita income may make it more challenging to penetrate the market with a premium product.","The commercial team should focus on building relationships with primary care physicians and targeting rural areas where there is limited access to healthcare services. Timing-wise, this could be done in Q2-Q3 of next year, leveraging the summer season for awareness campaigns and physician engagement.","The biggest risk in Rajasthan is the potential lack of awareness about diabetes prevention and management among patients and physicians, which may hinder adoption of a new product.","With 11.6% prediabetic prevalence, there is a significant opportunity to target high-risk individuals with lifestyle interventions or low-cost medications like Metformin.","Rajasthan presents an Opportunity Score of 27.1/100, driven by the large undiagnosed patient pool and relatively low per capita income."
Sikkim,13.1,12.4,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,12.2,15.7,34.5,41.6,25.7,34.7,36.3,0.7,256,0.09,0.09,0.18,13.95,38.05,35.5,36.231884057971016,0.0,33.0532212885154,45.60669456066945,17.310252996005325,84.60111317254176,39.52,23.44,32.28,12,Tier 3 — Monitor,"Sikkim's high Opportunity Score is driven by its relatively high diabetes prevalence (13.1%) compared to the national average, as well as a significant prediabetes population (12.4%). The state's lower health insurance coverage rate (25.7%) also presents an opportunity for our drug.","We recommend launching our product in Sikkim with a focus on rural areas and targeting primary care physicians, timing the launch to coincide with the annual health check-up season to maximize visibility.",The biggest commercial risk is the potential resistance from patients due to the relatively high cost of our drug compared to Metformin (₹91/month) and the presence of more affordable alternatives like Insulin (₹4527/month).,"The prediabetes prevalence in Sikkim presents a significant prevention market opportunity, with potential for early intervention and lifestyle modifications.","Sikkim offers an Opportunity Score of 32.3/100, driven by its high diabetes prevalence; we recommend launching our product there to capitalize on this opportunity."
Tamil Nadu,26.3,18.4,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,20.7,22.1,24.8,30.2,66.5,40.4,37.0,77.8,172,20.46,14.32,34.78,21.4,27.5,38.7,100.0,100.0,74.78991596638656,28.03347280334728,71.63781624500668,96.47495361781078,91.73,62.7,78.67,1,Tier 1 — Launch Immediately,"Tamil Nadu's high diabetes prevalence (26.3%) and large diabetic population (20.46 million) create a significant market opportunity, driven by the state's higher per capita income (₹172K/year) and health insurance coverage (66.5%). This is 2x the national average of 12.6% and 1.5x the national average of ₹158K/year.","Launch the new Type-2 diabetes drug immediately, focusing on Tier 1 cities with high-potential HCPs and a channel approach prioritizing digital marketing to reach the large at-risk population (34.78 million).","The single biggest commercial risk is the potential competition from existing glucose-lowering therapies, particularly Metformin, which is widely prescribed and relatively affordable (₹91/month).","The high prediabetes prevalence (18.4%) in Tamil Nadu presents a significant prevention market opportunity, with a focus on early intervention and lifestyle modifications.","Tamil Nadu offers a 78.7/100 opportunity score, driven by its large diabetic population and higher per capita income, making it an attractive launch state for our new Type-2 diabetes drug."
Telangana,15.9,13.2,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,14.7,18.1,26.1,31.4,60.8,30.1,32.3,37.5,228,5.96,4.95,10.91,16.4,28.75,31.2,49.75845410628018,28.816887579774185,46.77871148459384,39.74895397489539,64.0479360852197,68.6456400742115,49.5,43.76,46.92,7,Tier 2 — Launch in 6 Months,Telangana's higher diabetes prevalence (15.9%) and larger diabetic population (5.96 million) compared to national averages create a significant market opportunity. The state's relatively high per capita income (₹228K/year) and good health insurance coverage (60.8%) also contribute to this score.,"The commercial team should focus on Tier-2 cities, targeting the large diabetic population with targeted marketing campaigns starting six months prior to launch, leveraging digital channels and partnerships with local healthcare providers.","The biggest risk is the high competition from established players in the market, particularly in the insulin segment, which may lead to pricing pressure and slower adoption of the new drug.","The prediabetes prevalence of 13.2% presents a significant prevention market opportunity, allowing for early intervention and potential long-term cost savings through targeted awareness campaigns and lifestyle modification programs.","Telangana offers an attractive commercial opportunity with an Opportunity Score of 46.9/100, driven by its large diabetic population and relatively high per capita income."
Tripura,11.2,12.8,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,17.7,19.3,20.9,22.7,33.0,21.5,23.4,4.1,97,0.46,0.52,0.98,18.5,21.8,22.45,27.05314009661835,1.8163966617574865,58.54341736694677,12.343096234309622,27.030625832223706,36.17810760667904,34.54,13.59,25.11,20,Tier 4 — Deprioritize,"Tripura's lower per capita income (₹97K/year) and health insurance coverage (33.0%) compared to national averages create a significant opportunity for our new diabetes drug, particularly among women with high blood sugar prevalence (17.7%).","We recommend prioritizing early awareness campaigns targeting women in rural areas, leveraging local influencers and community-based initiatives, and focusing on Tier 2-3 cities where the disease burden is higher.",The single biggest commercial risk is the high competition from generic Metformin (₹91/month) which could cannibalize our market share if we don't effectively communicate the value proposition of our new drug.,"With 12.8% prediabetes prevalence, there's a significant opportunity to prevent diabetes cases and create a loyal customer base for our drug through targeted lifestyle modification programs.","Tripura presents an attractive opportunity with an Opportunity Score of 25.1/100, driven by high disease burden and lower competition, making it an ideal launch market for our new diabetes drug."
Uttar Pradesh,8.4,10.1,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,10.0,11.6,18.4,21.7,15.9,21.3,18.5,231.5,68,19.45,23.38,42.83,10.8,20.05,19.9,13.526570048309184,95.04172803141874,15.406162464986,6.276150627615061,4.260985352862851,26.716141001855288,28.96,32.3,30.46,15,Tier 3 — Monitor,"Uttar Pradesh's lower per capita income and health insurance coverage compared to national averages (₹68K/year vs ₹158K/year, and 15.9% vs 41.2%) create a significant opportunity for our new diabetes drug, particularly among the large diabetic population.","We recommend launching in Uttar Pradesh during Q3-Q4 with a focused approach on rural areas, leveraging local healthcare networks and partnering with primary care physicians to maximize reach and adoption.","The single biggest commercial risk is the high competition from established players, particularly Metformin, which is priced significantly lower at ₹91/month compared to our new drug.",The state's prediabetes prevalence of 10.1% presents a significant prevention market opportunity for our company to capitalize on early intervention and patient education initiatives.,"Uttar Pradesh offers an Opportunity Score of 30.5/100, driven by its large diabetic population and underserved healthcare landscape, with potential for significant revenue growth."
Uttarakhand,11.8,13.2,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,10.8,14.3,22.9,31.8,62.5,29.7,27.1,11.3,148,1.33,1.49,2.82,12.55,27.35,28.4,29.951690821256044,6.087383406971036,25.21008403361345,23.01255230125523,66.3115845539281,58.25602968460111,30.61,30.92,30.75,14,Tier 3 — Monitor,"Uttarakhand's lower per capita income and health insurance coverage compared to national averages contribute to its relatively high Opportunity Score. The state's prediabetes prevalence is higher than the national average, indicating a significant potential for prevention efforts.","The commercial team should focus on early-stage engagement with primary care physicians in Tier-2 cities, leveraging digital channels and targeted promotions to reach the at-risk population, starting within the first six months of launch.","The single biggest commercial risk is the high competition from established players in the Metformin segment, which may lead to pricing pressure and slower adoption.","The prediabetes prevalence offers a significant opportunity for prevention-focused marketing campaigns targeting women, who are more likely to be overweight and at risk of developing type-2 diabetes.","Uttarakhand presents an attractive Opportunity Score of 30.8/100, driven by its high prediabetes prevalence and relatively low competition in the Metformin segment."
West Bengal,10.8,12.6,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,17.5,21.3,20.5,20.1,29.3,22.7,16.2,100.0,108,10.8,12.6,23.4,19.4,20.3,19.45,25.12077294685991,52.57731958762887,63.58543417366946,14.644351464435148,22.10386151797604,25.04638218923933,40.76,28.26,35.14,11,Tier 3 — Monitor,"West Bengal's lower diabetes prevalence compared to the national average (10.8% vs 12.6%) creates an opportunity to target high-potential patients, particularly women with high blood sugar rates (17.5%). Additionally, the state's higher prediabetes prevalence (12.6%) indicates a sizable prevention market.","The commercial team should focus on timely launches in urban areas, leveraging digital channels and partnerships with local healthcare providers to maximize reach and engagement.",The risk of limited patient adoption due to concerns over affordability is the single biggest commercial challenge in West Bengal.,"The prediabetes prevalence offers a significant opportunity for prevention-focused initiatives, potentially generating ₹X million in annual revenue.","West Bengal presents an attractive opportunity with an Opportunity Score of 35.1/100, driven by its large diabetic population and high prediabetes rates, offering potential to generate ₹Y million in annual revenue."
Delhi,18.6,16.2,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,12.2,14.1,24.1,32.8,25.0,41.3,38.0,32.1,389,5.97,5.2,11.17,13.15,28.45,39.65,62.80193236714975,28.865979381443296,28.57142857142857,73.43096234309621,16.37816245006658,100.0,54.88,42.95,49.51,5,Tier 2 — Launch in 6 Months,"Delhi's high diabetes prevalence (18.6%) and large diabetic population (5.97 million) create a significant market opportunity, driven by the state's relatively high per capita income (₹389K/year). Compared to the national average of 12.6%, Delhi's prevalence is almost 50% higher, indicating a strong demand for effective diabetes management solutions.","The commercial team should focus on targeting urban areas with high-income households, leveraging digital channels and partnerships with primary care physicians to drive awareness and adoption within the next 6 months.","The biggest commercial risk in Delhi is the potential for competition from established players and generic alternatives, which could erode market share if not addressed proactively.","Delhi's high prediabetes prevalence (16.2%) presents a significant prevention market opportunity, with a focus on early intervention and lifestyle modification programs potentially yielding long-term benefits for patients and the healthcare system.","Delhi offers an attractive opportunity score of 49.5/100, driven by its large diabetic population and relatively high per capita income, making it an ideal launch market within the next 6 months."
Jammu & Kashmir,15.1,14.4,"ICMR-INDIAB 2023, Lancet Diabetes Endocrinol, 11(7):474-489",2023,8.7,8.0,20.0,18.9,12.7,29.3,31.6,13.6,124,2.05,1.96,4.01,8.35,19.45,30.450000000000003,45.893719806763286,9.621993127147766,1.680672268907557,17.991631799163176,0.0,65.86270871985158,31.18,10.08,21.68,22,Tier 4 — Deprioritize,"Jammu & Kashmir's high diabetes prevalence (15.1%) and large diabetic population (2.05 million) create an attractive market opportunity, driven by the state's lower health insurance coverage (12.7%) compared to the national average.","The commercial team should focus on timely launches in Tier-4 cities, leveraging local healthcare networks and targeting high-risk patients, with a channel approach emphasizing direct-to-consumer marketing.","The single biggest risk is the limited availability of healthcare professionals trained to manage diabetes, which may impact adoption rates.",The state's high prediabetes prevalence (14.4%) presents an opportunity to target prevention and early intervention strategies.,"Jammu & Kashmir offers a 21.7/100 opportunity score, driven by its large diabetic population and underserved healthcare landscape."
